id,name,breed_group,life_span,temperament,origin,bred_for,weight_metric,height_metric,reference_image_id,image_url
1,Affenpinscher,Toy,12-15,"Confident, alert, playful, loyal, courageous",Germany,,3.2-4.5,23-29,,https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg
2,Afghan Hound,Hound,12-15,"Independent, dignified, aloof, loyal, confident",Afghanistan,,Male: 25-30; Female: 20-25,Male: 69-74; Female: 63-69,,https://cdn4.thedogapi.com/optimized/OnOywWfsh1.jpg
347,Africanis,Primitive,10-15,"Intelligent, loyal, alert, adaptable, independent",Southern Africa,,Male: 25-34; Female: 20-32,Male: 50-60; Female: 48-60,,https://cdn4.thedogapi.com/optimized/O9i7bKubt6.jpg
348,Aidi,Working,10-12,"Alert, protective, independent, loyal, courageous, intelligent, energetic","Atlas Mountains, Morocco",,23-25,Male: 52-62; Female: 46-55,,https://cdn2.thedogapi.com/images/Bkov76pEm.gif
4,Airedale Terrier,Terrier,11-14,"Confident, intelligent, courageous, alert, energetic, outgoing","Yorkshire, England",,Male: 23-32; Female: 18-25,Male: 58-61; Female: 56-58,,https://cdn2.thedogapi.com/images/r16sH664Q.gif
675,Airedoodle,Mixed,10-15,"Intelligent, energetic, courageous, loyal, friendly, alert",United States,,Male: 18-32; Female: 18-30,Male: 53-69; Female: 53-66,,https://cdn2.thedogapi.com/images/S1KMGg5Vm_1280.jpg
5,Akbash,Guardian,10-12,"Independent, protective, calm, alert, loyal, intelligent",Western Turkey,,Male: 41-64; Female: 34-48,Male: 71-86; Female: 69-81,,https://cdn2.thedogapi.com/images/S1V3Qeq4X_1280.jpg
6,Akita,Working,10-13,"Courageous, loyal, dignified, independent, protective, alert",Japan,,Male: 45-59; Female: 32-45,Male: 66-71; Female: 61-66,,https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg
349,Aksaray Malaklisi,Working,8-12,"Protective, loyal, independent, calm, alert, courageous, intelligent","Aksaray Province, Central Anatolia, Turkey",,Male: 55-90; Female: 50-70,Male: 76-86; Female: 70-81,,https://cdn2.thedogapi.com/images/SJ6eMxqEQ_1280.jpg
350,Alano Español,Working,10-14,"Loyal, courageous, protective, intelligent, confident",Spain,,Male: 34-40; Female: 30-38,Male: 58-65; Female: 55-61,,https://cdn4.thedogapi.com/optimized/gH5hZrWj0Q.jpg
7,Alapaha Blue Blood Bulldog,Working,12-13,"Loyal, protective, intelligent, confident, alert","Alapaha River region of southern Georgia, United States",,Male: 32-41; Female: 25-34,Male: 51-61; Female: 46-56,,https://cdn2.thedogapi.com/images/v-08PkHgP.jpg
8,Alaskan Husky,Mixed,10-15,"Energetic, intelligent, work-focused, athletic, friendly, independent","Alaska, United States",,Male: 17-27; Female: 16-25,Male: 53-66; Female: 51-64,,https://cdn4.thedogapi.com/optimized/JF4NsbSm9C.jpg
265,Alaskan Klee Kai,Non-Sporting,,"Alert, intelligent, energetic, loyal, curious, playful","Wasilla, Alaska, United States",,Male: 7-10.4; Female: 4.5-8.2,Male: 38-43; Female: 33-38,,https://cdn2.thedogapi.com/images/r9CSG0CWk.jpg
